Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
54,The Log,0.5409836065573771,0.4949057920446615,5.6880232254374e-06
71,Goblin Barrel,0.5313092979127134,0.4879485072582854,2.5493110531117287e-05
98,Inferno Tower,0.5401964350672972,0.4864457831325301,7.296180287486142e-05
96,Knight,0.5394465097067328,0.4853491271820448,0.0001857753646539763
99,Princess,0.5268817204301075,0.483487764314564,0.00024884583590840183
61,Mini P.E.K.K.A,0.5463743676222597,0.4849990259107734,0.00029122724196911697
25,Hog Rider,0.5327809798270894,0.4843025137555292,0.0003215819584538837
13,Fireball,0.5321683876092137,0.4836779678807599,0.0006482660183813847
105,Zap,0.5223880597014925,0.4812846068660022,0.0015351398013884667
87,Mega Knight,0.5234669407331278,0.4815910585141354,0.0015386206617244796
82,Musketeer,0.5681470137825421,0.4831460674157303,0.0023057761532132115
33,Rocket,0.5252969643642763,0.4816823577568563,0.0036485788795708736
66,Ice Spirit,0.5286320254506893,0.482035633428487,0.004607457938605371
0,Mega Minion,0.604982206405694,0.4824039442366542,0.005187947869451429
29,Minions,0.5429362880886427,0.4826673964604999,0.0059373040647408195
12,Valkyrie,0.5097412038383251,0.4764118057169417,0.005969509021445429
51,Electro Wizard,0.526595744680851,0.4815029460059886,0.009918969898573922
69,Bats,0.5227272727272727,0.4809575625680087,0.01013133645448005
103,Lightning,0.5850746268656717,0.4822374039282664,0.010593384293833715
2,Arrows,0.5160349854227405,0.4794690999585234,0.012039755368671107
101,Inferno Dragon,0.5336448598130841,0.4817312072892938,0.017401008823220432
9,Lumberjack,0.5460992907801419,0.482010582010582,0.01905324305614781
72,Balloon,0.5309734513274337,0.4812853424288663,0.03847677910339241
81,Dart Goblin,0.5141884222474461,0.4794320723524263,0.0432289884476074
45,Skeleton Barrel,0.5316770186335403,0.4812277580071174,0.04615937722674972
49,Ice Wizard,0.5486725663716814,0.4812062190329745,0.09092364022824342
32,Bandit,0.527027027027027,0.4807979611565164,0.10016872408963755
57,Firecracker,0.5115931189229619,0.4793612252521479,0.10427204216877421
75,Baby Dragon,0.5163776493256262,0.4800581448169346,0.10434768240875893
67,Giant Skeleton,0.5366430260047281,0.4809843400447427,0.11371141014353357
15,Dark Prince,0.5265625,0.4807540552389303,0.11751367201458028
55,P.E.K.K.A,0.5186480186480187,0.4802896218825422,0.12235216346869571
73,Graveyard,0.6091954022988506,0.4810168924569326,0.12784700514529096
93,Tesla,0.5116495806150979,0.479584396646008,0.15422408370327031
84,Archers,0.5216666666666666,0.4804718217562254,0.1658560723991229
1,Witch,0.501466275659824,0.4773694390715667,0.17059921061447159
10,Executioner,0.5130111524163569,0.4798896600818651,0.19553235517791506
48,Earthquake,0.6166666666666667,0.4808510638297872,0.19898184599723873
89,Poison,0.5236051502145923,0.4805250885223249,0.2132262895332416
53,Prince,0.509229098805646,0.4795037756202804,0.2256389658614023
60,Furnace,0.5235955056179775,0.4805172413793103,0.2275342426892585
3,Rascals,0.5469613259668509,0.480782198246797,0.24738033199847964
