Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
15,Dark Prince,0.7272727272727273,0.5307971014492754,0.3474749588904284
97,Sparky,0.64,0.5282331511839709,0.5671848057206983
73,Balloon,0.6060606060606061,0.5286506469500925,0.6202836751889728
90,Poison,0.7272727272727273,0.5257548845470693,0.6594427244582043
69,Golem,0.5961538461538461,0.5325670498084292,0.6922266134789787
0,Mega Minion,0.6111111111111112,0.5251798561151079,0.7379863063859774
78,Royal Hogs,0.6,0.5275735294117647,0.7947745256391849
18,Miner,0.5294117647058824,0.5224416517055656,1.0
14,Goblins,0.55,0.5234657039711191,1.0
89,Freeze,0.5833333333333334,0.5254545454545455,1.0
13,Fireball,0.5423728813559322,0.5281553398058253,1.0
80,Skeleton Dragons,0.6666666666666666,0.522887323943662,1.0
94,Skeleton King,0.6153846153846154,0.5240641711229946,1.0
99,Princess,0.5277777777777778,0.5241635687732342,1.0
21,Fisherman,0.625,0.5229681978798587,1.0
106,Goblin Giant,0.5454545454545454,0.522202486678508,1.0
54,Prince,0.5306122448979592,0.5257142857142857,1.0
44,Electro Spirit,0.5555555555555556,0.5221238938053098,1.0
43,Hunter,0.6,0.5252707581227437,1.0
58,Firecracker,0.5357142857142857,0.5238095238095238,1.0
41,Giant,0.5490196078431373,0.5277246653919694,1.0
62,Mini P.E.K.K.A,0.5294117647058824,0.5276679841897233,1.0
23,Barbarian Barrel,0.5423728813559322,0.5281553398058253,1.0
30,Archer Queen,0.6,0.5219683655536028,1.0
70,Bats,0.5531914893617021,0.5275142314990512,1.0
26,Night Witch,0.6,0.5219683655536028,1.0
